timestamp,date_time,symbol,timeframe,signal_direction,filter_type,rejection_reason,rsi_value,price,additional_data
1747137788,2025-05-13 09:03:08,DOGEUSDT,1m,BUY,MTF_RSI,RSI em 5m (57.19) acima do limite para compra (45),36.22,0.22760000,"{'ref_timeframe': '5m', 'ref_rsi': 57.18954248366005}"
1747137837,2025-05-13 09:03:57,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (52.25) acima do limite para compra (45),18.66,12.84300000,"{'ref_timeframe': '5m', 'ref_rsi': 52.247191011235955}"
1747137998,2025-05-13 09:06:38,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (47.37) acima do limite para compra (45),26.26,12.84700000,"{'ref_timeframe': '5m', 'ref_rsi': 47.368421052631376}"
1747138029,2025-05-13 09:07:09,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (49.53) acima do limite para compra (45),32.56,12.85400000,"{'ref_timeframe': '5m', 'ref_rsi': 49.52681388012616}"
1747138207,2025-05-13 09:10:07,DOGEUSDT,1m,BOTH,VOLUME,Volume atual (608722.00) abaixo do mínimo requerido (6949314.24),N/A,0.22671000,"{'avg_volume': 5791095.2, 'required_threshold': 6949314.24}"
1747138210,2025-05-13 09:10:10,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (6956.94) abaixo do mínimo requerido (66234.18),N/A,12.83400000,"{'avg_volume': 55195.148, 'required_threshold': 66234.1776}"
1747138504,2025-05-13 09:15:04,TRUMPUSDT,5m,BOTH,VOLUME,Volume atual (484.08) abaixo do mínimo requerido (226280.08),N/A,12.81400000,"{'avg_volume': 188566.7305, 'required_threshold': 226280.0766}"
1747139117,2025-05-13 09:25:17,TRUMPUSDT,5m,BOTH,VOLUME,Volume atual (13299.81) abaixo do mínimo requerido (227058.15),N/A,12.79400000,"{'avg_volume': 189215.12149999998, 'required_threshold': 227058.14579999997}"
1747139158,2025-05-13 09:25:58,TRUMPUSDT,5m,BOTH,VOLUME,Volume atual (39294.58) abaixo do mínimo requerido (227058.15),N/A,12.81900000,"{'avg_volume': 189215.12149999998, 'required_threshold': 227058.14579999997}"
1747139283,2025-05-13 09:28:03,TRUMPUSDT,5m,BOTH,VOLUME,Volume atual (77517.69) abaixo do mínimo requerido (227058.15),N/A,12.83500000,"{'avg_volume': 189215.12149999998, 'required_threshold': 227058.14579999997}"
1747139367,2025-05-13 09:29:27,TRUMPUSDT,5m,BOTH,VOLUME,Volume atual (115656.90) abaixo do mínimo requerido (227058.15),N/A,12.85200000,"{'avg_volume': 189215.12149999998, 'required_threshold': 227058.14579999997}"
1747140620,2025-05-13 09:50:20,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (59.32) acima do limite para compra (45),33.68,12.92300000,"{'ref_timeframe': '5m', 'ref_rsi': 59.31758530183746}"
1747140664,2025-05-13 09:51:04,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (57.42) acima do limite para compra (45),36.17,12.91900000,"{'ref_timeframe': '5m', 'ref_rsi': 57.41758241758248}"
1747140768,2025-05-13 09:52:48,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (56.94) acima do limite para compra (45),30.67,12.90700000,"{'ref_timeframe': '5m', 'ref_rsi': 56.94444444444456}"
1747144023,2025-05-13 10:47:03,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (2477.01) abaixo do mínimo requerido (68536.95),N/A,12.82100000,"{'avg_volume': 57114.128500000006, 'required_threshold': 68536.95420000001}"
1747144036,2025-05-13 10:47:16,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (12264.02) abaixo do mínimo requerido (68536.95),N/A,12.82300000,"{'avg_volume': 57114.128500000006, 'required_threshold': 68536.95420000001}"
1747144110,2025-05-13 10:48:30,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (31738.46) abaixo do mínimo requerido (71229.69),N/A,12.84400000,"{'avg_volume': 59358.075, 'required_threshold': 71229.68999999999}"
1747144233,2025-05-13 10:50:33,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (48.05) acima do limite para compra (45),30.29,12.86200000,"{'ref_timeframe': '5m', 'ref_rsi': 48.04687500000003}"
1747144809,2025-05-13 11:00:09,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (15075.80) abaixo do mínimo requerido (57280.63),N/A,12.84700000,"{'avg_volume': 47733.855, 'required_threshold': 57280.626000000004}"
1747144835,2025-05-13 11:00:35,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (23170.84) abaixo do mínimo requerido (57280.63),N/A,12.85400000,"{'avg_volume': 47733.855, 'required_threshold': 57280.626000000004}"
1747144866,2025-05-13 11:01:06,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (17623.75) abaixo do mínimo requerido (57444.28),N/A,12.83700000,"{'avg_volume': 47870.2365, 'required_threshold': 57444.2838}"
1747145167,2025-05-13 11:06:07,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (9763.92) abaixo do mínimo requerido (72991.62),N/A,12.74700000,"{'avg_volume': 60826.346, 'required_threshold': 72991.6152}"
1747145199,2025-05-13 11:06:39,TRUMPUSDT,5m,BOTH,VOLUME,Volume atual (137881.57) abaixo do mínimo requerido (333774.88),N/A,12.75800000,"{'avg_volume': 278145.73400000005, 'required_threshold': 333774.88080000004}"
1747145231,2025-05-13 11:07:11,TRUMPUSDT,5m,BOTH,VOLUME,Volume atual (156228.55) abaixo do mínimo requerido (333774.88),N/A,12.78300000,"{'avg_volume': 278145.73400000005, 'required_threshold': 333774.88080000004}"
1747194037,2025-05-14 00:40:37,TRUMPUSDT,15m,BUY,MTF_RSI,RSI em 1h (57.38) acima do limite para compra (45),31.60,13.49200000,"{'ref_timeframe': '1h', 'ref_rsi': 57.38341968911923}"
